ID,Name,Country,Latitude,Longitude
AMXX0003,Yerevan,Armenia,40.13,44.47
AMXX0001,Abovyan,Armenia,40.17,44.58
AMXX0002,Gyumri,Armenia,40.79,43.84
AUXX0097,Mattersburg,Autriche,47.73,16.4
AUXX0100,Gussing,Autriche,47.07,16.33
AUXX0105,Hartberg,Autriche,46.98,16.12
AUXX0112,Deutschlandsberg,Autriche,46.82,15.22
AUXX0117,Feldkirchen,Autriche,46.72,14.1
AUXX0124,Rauris,Autriche,47.25,12.83
AUXX0129,Kapfenberg,Autriche,47.45,15.3
AUXX0004,Eisenstadt,Autriche,47.85,16.52
AUXX0009,Hallein,Autriche,47.68,13.1
AUXX0011,Klosterneuburg,Autriche,48.3,16.32
AUXX0016,Linz,Autriche,48.23,14.18
AUXX0023,Stockerau,Autriche,48.38,16.22
AUXX0028,Wels,Autriche,48.16,14.03
AUXX0030,Retz,Autriche,48.77,15.95
AUXX0035,Mariazell,Autriche,47.77,15.32
AUXX0042,Bruck-An-Der-Mur,Autriche,47.42,15.28
AUXX0047,Matrei,Autriche,47.0,12.63
AUXX0054,Zell-Am-See,Autriche,47.3,12.78
AUXX0061,Spielberg,Autriche,48.5,15.87
AUXX0066,Zurs,Autriche,47.17,10.17
AUXX0073,Bludenz,Autriche,47.15,9.82
AUXX0078,Rohrbach,Autriche,48.57,13.98
AUXX0080,Braunau,Autriche,48.27,13.03
AUXX0085,Waidhofen-An-Der-Thaya,Autriche,48.82,15.28
AUXX0092,Scheibbs,Autriche,48.0,15.17
AUXX0096,Neusiedl-Am-See,Autriche,47.93,16.83
AUXX0104,Leoben,Autriche,47.38,15.1
AUXX0109,Judenburg,Autriche,47.17,14.67
AUXX0111,Feldbach,Autriche,46.95,15.89
AUXX0116,St-Veit,Autriche,47.93,16.15
AUXX0123,Ischgl,Autriche,47.02,10.3
AUXX0128,Puchberg,Autriche,47.78,15.92
AUXX0130,Bad-Mitterndorf,Autriche,47.55,13.93
AUXX0003,Eferding,Autriche,48.32,14.02
AUXX0008,Graz,Autriche,47.0,15.43
AUXX0010,Innsbruck,Autriche,47.27,11.35
AUXX0015,Leonding,Autriche,48.27,14.25
AUXX0022,Steyregg,Autriche,48.28,14.37
AUXX0027,Waizenkirchen,Autriche,48.33,13.87
AUXX0034,Aigen-Im-Ennstal,Autriche,47.53,14.13
AUXX0039,Bad-Gleichenberg,Autriche,46.87,15.9
AUXX0041,Bischofshofen,Autriche,47.42,13.22
AUXX0046,Kirchdorf,Autriche,47.92,14.13
AUXX0053,Sonnblick-Mtn,Autriche,47.05,12.95
AUXX0060,Unken,Autriche,47.68,12.7
AUXX0065,Villach,Autriche,46.62,13.85
AUXX0072,Feldkirch,Autriche,47.23,9.6
AUXX0077,Tamsweg,Autriche,47.13,13.8
AUXX0084,Vocklabruck,Autriche,48.02,13.65
AUXX0089,Tulln,Autriche,48.33,16.05
AUXX0091,Bruck-An-Der-Leitha,Autriche,48.02,16.77
AUXX0103,Murzzuschlag,Autriche,47.6,15.68
AUXX0110,Furstenfeld,Autriche,47.05,16.08
AUXX0115,Volkermarkt,Autriche,46.66,14.63
AUXX0127,Reichenau,Autriche,47.78,15.92
AUXX0002,Bergheim,Autriche,47.83,13.03
AUXX0007,Gratkorn,Autriche,47.13,15.35
AUXX0014,Leibnitz,Autriche,46.78,15.54
AUXX0019,Schwaz,Autriche,47.33,11.7
AUXX0021,Steinach,Autriche,47.08,11.47
AUXX0026,Voitsberg,Autriche,47.03,15.15
AUXX0033,Kufstein,Autriche,47.58,12.17
AUXX0038,Amstetten,Autriche,48.12,14.85
AUXX0040,Bad-Goisen,Autriche,47.65,13.63
AUXX0045,St-Johann,Autriche,47.52,12.45
AUXX0052,Schladming,Autriche,47.38,13.68
AUXX0064,Kitzbuhel,Autriche,47.5,12.38
AUXX0069,St-Cristoph,Autriche,47.13,10.22
AUXX0071,Dornbirn,Autriche,47.42,9.73
AUXX0076,Imst,Autriche,47.23,10.73
AUXX0083,Steyr,Autriche,48.05,14.42
AUXX0088,Ganserndorf,Autriche,48.35,16.73
AUXX0090,Melk,Autriche,48.22,15.32
AUXX0095,Neunkirchen,Autriche,47.72,16.08
AUXX0099,Oberwart,Autriche,47.28,16.2
AUXX0102,Liezen,Autriche,47.57,14.23
AUXX0107,Weiz,Autriche,47.22,15.62
AUXX0114,Wolfsberg,Autriche,46.84,14.84
AUXX0119,Spittal-An-Der-Drau,Autriche,46.78,13.44
AUXX0126,Ramsau,Autriche,47.42,13.63
AUXX0001,Baden,Autriche,48.02,16.23
AUXX0006,Gleisdorf,Autriche,47.1,15.72
AUXX0013,Lannach,Autriche,46.93,15.32
AUXX0018,Salzbourg,Autriche,47.8,13.0
AUXX0020,Seiersberg,Autriche,47.0,15.4
AUXX0025,Vienne,Autriche,48.12,16.57
AUXX0032,Bregenz,Autriche,47.5,9.73
AUXX0037,Klagenfurt,Autriche,46.65,14.33
AUXX0044,Gmunden,Autriche,47.92,13.82
AUXX0049,Murau,Autriche,47.12,14.15
AUXX0051,Ried,Autriche,48.22,13.52
AUXX0056,Zwettl-Stadt,Autriche,48.62,15.17
AUXX0063,Bad-Ischl,Autriche,47.72,13.62
AUXX0068,Stuben,Autriche,47.13,10.17
AUXX0070,Sonnenkopf,Autriche,47.13,10.2
AUXX0075,Landeck,Autriche,47.13,10.57
AUXX0082,Perg,Autriche,48.25,14.63
AUXX0087,Horn,Autriche,48.65,15.65
AUXX0094,Waidhofen-An-Der-Ybbs,Autriche,47.97,14.77
AUXX0098,Oberpullendorf,Autriche,47.5,16.52
AUXX0101,Jennersdorf,Autriche,46.94,16.14
AUXX0106,Knittelfeld,Autriche,47.22,14.82
AUXX0113,Bad-Radkersburg,Autriche,46.69,15.99
AUXX0118,Hermagor,Autriche,46.63,13.37
AUXX0125,Windischgarsten,Autriche,47.73,14.33
AUXX0005,Enns,Autriche,48.2,14.47
AUXX0012,Korneuburg,Autriche,48.31,16.31
AUXX0017,Modling,Autriche,48.08,16.47
AUXX0024,Traun,Autriche,48.22,14.23
AUXX0029,Wiener-Neustadt,Autriche,47.8,16.25
AUXX0031,Saint-Poelten,Autriche,48.2,15.62
AUXX0036,Lienz,Autriche,46.83,12.8
AUXX0043,Friesach,Autriche,46.93,14.42
AUXX0048,Mistelbach,Autriche,48.57,16.53
AUXX0050,Mauterndorf,Autriche,47.13,13.68
AUXX0055,Zeltweg,Autriche,47.2,14.75
AUXX0062,Bad-Hofgastein,Autriche,47.17,13.1
AUXX0067,Lech,Autriche,47.2,10.15
AUXX0074,Reutte,Autriche,47.48,10.72
AUXX0079,Freistadt,Autriche,48.5,14.5
AUXX0081,Grieskirchen,Autriche,48.23,13.83
AUXX0086,Gmund,Autriche,48.77,14.98
AUXX0093,Lilienfeld,Autriche,48.02,15.63
BOXX0023,Brest,Belarus,52.12,23.68
BOXX0004,Gomel-,Belarus,52.45,31.0
BOXX0009,Rechitsa,Belarus,52.37,30.4
BOXX0011,Verhnedvinsk,Belarus,55.82,27.95
BOXX0016,Grodno,Belarus,53.6,24.05
BOXX0022,Bobruysr,Belarus,53.22,29.18
BOXX0003,Dzerzhinsk,Belarus,53.69,27.14
BOXX0008,Rakov,Belarus,53.97,27.05
BOXX0010,Vetka,Belarus,52.57,31.18
BOXX0015,Orsa,Belarus,55.0,30.42
BOXX0026,Mozyr,Belarus,51.95,29.17
BOXX0002,Dobrush,Belarus,52.42,31.32
BOXX0007,Pinsk,Belarus,52.12,26.07
BOXX0014,Vitebsk,Belarus,55.17,30.22
BOXX0019,Kostjvkovici,Belarus,53.35,32.07
BOXX0021,Sluck,Belarus,53.03,27.55
BOXX0025,Zitkovici,Belarus,52.22,27.87
BOXX0001,Borisov,Belarus,54.23,28.48
BOXX0006,Mozyr-,Belarus,52.05,29.27
BOXX0013,Lepel,Belarus,54.88,28.7
BOXX0018,Mogilev,Belarus,53.95,30.07
BOXX0020,Baranovici,Belarus,53.12,26.0
BOXX0005,Minsk,Belarus,53.87,27.53
BOXX0012,Lyntupy,Belarus,55.05,26.32
BOXX0017,Lida,Belarus,53.85,25.32
BEXX0001,Anderlecht,Belgique,50.83,4.3
BEXX0006,Charleroi,Belgique,50.42,4.43
BEXX0013,Malines,Belgique,51.03,4.47
BEXX0018,Seraing,Belgique,50.6,5.48
BEXX0020,Vilvoorde,Belgique,50.93,4.43
BEXX0025,Florennes,Belgique,50.23,4.65
BEXX0005,Bruxelles,Belgique,50.9,4.53
BEXX0012,Lokeren,Belgique,51.1,3.98
BEXX0017,Schaerbeek,Belgique,50.85,4.38
BEXX0024,Uccle,Belgique,50.8,4.35
BEXX0029,Spa-La-Sauveniere,Belgique,50.48,5.92
BEXX0031,Spa,Belgique,50.3,5.52
BEXX0004,Aywaille,Belgique,50.47,5.67
BEXX0009,Halle,Belgique,50.7,4.3
BEXX0011,Liege,Belgique,50.73,5.48
BEXX0016,Saint-Nicolas,Belgique,50.63,5.53
BEXX0023,Munte,Belgique,50.93,3.73
BEXX0028,Kleine-Brogel,Belgique,51.17,5.47
BEXX0030,Elsenborn,Belgique,50.47,6.18
BEXX0003,Anvers,Belgique,51.18,4.45
BEXX0008,Gand,Belgique,51.05,3.72
BEXX0010,Herstal,Belgique,50.67,5.63
BEXX0015,Namur,Belgique,50.47,4.87
BEXX0027,St-Hubert,Belgique,50.03,5.4
BEXX0002,Ans,Belgique,50.63,5.57
BEXX0007,Dendermonde,Belgique,51.03,4.12
BEXX0014,Mons,Belgique,50.45,3.93
